trial,seed,sigma_r,top_k,config_id,operator,lambda,policy_violation_rate
1,43,0.0,40,geometric@0.50,geometric,0.5,0.0
1,43,0.0,50,geometric@0.50,geometric,0.5,0.0
1,43,0.0,60,geometric@0.50,geometric,0.5,0.0
1,43,0.0,70,geometric@0.50,geometric,0.5,0.0
1,43,0.0,80,geometric@0.50,geometric,0.5,0.0
1,43,0.0,90,geometric@0.50,geometric,0.5,0.0
1,43,0.0,100,geometric@0.50,geometric,0.5,0.0
1,43,0.0,10,geometric@0.90,geometric,0.9,0.0
1,43,0.0,20,geometric@0.90,geometric,0.9,0.0
1,43,0.0,30,geometric@0.90,geometric,0.9,0.0
1,43,0.0,40,geometric@0.90,geometric,0.9,0.0
1,43,0.0,50,geometric@0.90,geometric,0.9,0.0
1,43,0.0,60,geometric@0.90,geometric,0.9,0.0
1,43,0.0,70,geometric@0.90,geometric,0.9,0.0
1,43,0.0,80,geometric@0.90,geometric,0.9,0.0
1,43,0.0,90,geometric@0.90,geometric,0.9,0.0
1,43,0.0,100,geometric@0.90,geometric,0.9,0.0
1,43,0.0,10,min,min,,0.0
1,43,0.0,20,min,min,,0.0
1,43,0.0,30,min,min,,0.0
1,43,0.0,40,min,min,,0.0
1,43,0.0,50,min,min,,0.0
1,43,0.0,60,min,min,,0.0
1,43,0.0,70,min,min,,0.0
1,43,0.0,80,min,min,,0.0
1,43,0.0,90,min,min,,0.0
1,43,0.0,100,min,min,,0.0
1,43,0.05,10,linear@0.10,linear,0.1,0.0
1,43,0.05,20,linear@0.10,linear,0.1,0.0
1,43,0.05,30,linear@0.10,linear,0.1,0.0
1,43,0.05,40,linear@0.10,linear,0.1,0.0
1,43,0.05,50,linear@0.10,linear,0.1,0.0
1,43,0.05,60,linear@0.10,linear,0.1,0.0
1,43,0.05,70,linear@0.10,linear,0.1,0.0
1,43,0.05,80,linear@0.10,linear,0.1,0.0
1,43,0.05,90,linear@0.10,linear,0.1,0.0
1,43,0.05,100,linear@0.10,linear,0.1,0.0
1,43,0.05,10,linear@0.50,linear,0.5,0.0
1,43,0.05,20,linear@0.50,linear,0.5,0.0
1,43,0.05,30,linear@0.50,linear,0.5,0.0
1,43,0.05,40,linear@0.50,linear,0.5,0.0
1,43,0.05,50,linear@0.50,linear,0.5,0.0
